Year,Funder,State,Money
2021,Uber Technologies Inc and Affiliates,California,146176.16
2021,Centene Corporation on behalf of its affiliates and subsidiaries,District of Columbia,146000
2017,GENERAL MOTORS LLC,District of Columbia,144468.08
2023,PHARMACEUTICAL CARE MANAGEMENT ASSN,District of Columbia,144000.04
2021,DISH Network Corporation,District of Columbia,144000
2020,"Elevance Health, and its Affiliates",District of Columbia,144000
2019,"Elevance Health, and its Affiliates",District of Columbia,144000
2019,Centene Corporation on behalf of its affiliates and subsidiaries,District of Columbia,144000
2019,DISH Network Corporation,District of Columbia,144000
2018,DISH Network Corporation,District of Columbia,144000
2018,Centene Corporation on behalf of its affiliates and subsidiaries,District of Columbia,144000
2018,"Elevance Health, and its Affiliates",District of Columbia,144000
2017,Centene Corporation on behalf of its affiliates and subsidiaries,District of Columbia,144000
2016,STATE FARM INSURANCE COMPANIES,California,143083.35
2023,Centene Corporation on behalf of its affiliates and subsidiaries,District of Columbia,142000
2021,Everytown for Gun Safety Action Fund,New York,140647.15
2022,Centene Corporation on behalf of its affiliates and subsidiaries,District of Columbia,140500
2021,RAI Services Company,North Carolina,140225.04
2021,PHARMACEUTICAL CARE MANAGEMENT ASSN,District of Columbia,140000
2020,PHARMACEUTICAL CARE MANAGEMENT ASSN,District of Columbia,140000
2022,Google LLC and its Affiliates,California,139835.65
2020,ELI LILLY & COMPANY,Indiana,139500
2022,"Meta Platforms, Inc.",California,138458.43
2021,Renewable Energy Group,Iowa,138221.5
2020,Centene Corporation on behalf of its affiliates and subsidiaries,District of Columbia,138000
2023,Copenhagen Infrastructure Partners,New York,138000
2019,PHARMACEUTICAL CARE MANAGEMENT ASSN,District of Columbia,137500
2021,UNITED HEALTHCARE SERVICES INC,Minnesota,137304.31
2020,ALLIANCE OF WESTERN ENERGY CONSUMERS,Oregon,136000
2023,TECHNOLOGY NETWORK,California,135762.97
2023,New Venture Fund,District of Columbia,135629.75
2021,LYFT INC,California,135434.87
2021,SCIENTIFIC GAMES CORPORATION,Nevada,135000
2023,"Prime Therapeutics, LLC",Minnesota,134920.62
2017,AMAZON.COM SERVICES LLC,District of Columbia,134285.59
2018,EXPRESS SCRIPTS HOLDING CO,District of Columbia,134262.39
2023,Everytown for Gun Safety Action Fund,New York,133916.73
2022,Everytown for Gun Safety Action Fund,New York,133562.13
2022,Consumer Direct Care Network Washington LLC.,Montana,133549
2019,Renewable Energy Group,Iowa,132113.5
2020,CIGNA CORPORATE SERVICES,Connecticut,132066.07
2016,VERIZON,California,132000
2022,VERIZON,California,132000
2021,"Elevance Health, and its Affiliates",District of Columbia,132000
2021,Consumer Direct Care Network Washington LLC.,Montana,132000
2020,"ASTELLAS PHARMA US, INC.",District of Columbia,131044
2022,STATE FARM INSURANCE COMPANIES,California,130520.04
2021,STATE FARM INSURANCE COMPANIES,California,130520
2020,NW GROCERY ASSN,Oregon,130500
2023,UNITED HEALTHCARE SERVICES INC,Minnesota,129685.37
2023,WestRock,Georgia,129000
2017,WALMART INC.,Arkansas,128594
2020,UNITED HEALTHCARE SERVICES INC,Minnesota,128225.55
2018,Internet Association,District of Columbia,127400
2023,TikTok Inc.,California,126170.63
2022,UNITED HEALTHCARE SERVICES INC,Minnesota,126033.57
2023,Consumer Direct Care Network Washington LLC.,Montana,125400
2021,Google LLC and its Affiliates,California,125335.74
2023,Justice Action Network,District of Columbia,124661.04
2021,"Meta Platforms, Inc.",California,124309.72
2019,ALLIANCE OF WESTERN ENERGY CONSUMERS,Oregon,123600
2019,ELI LILLY & COMPANY,Indiana,123000
2018,ELI LILLY & COMPANY,Indiana,123000
2022,RAI Services Company,North Carolina,122225.04
2023,RAI Services Company,North Carolina,122225.04
2021,Molina Healthcare Inc,California,122203
2023,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION,Illinois,121939.66
2016,AMAZON.COM SERVICES LLC,District of Columbia,121132.73
2018,WALMART INC.,Arkansas,121094
2020,WALMART INC.,Arkansas,120884.66
2021,WALMART INC.,Arkansas,120501
2017,ELI LILLY & COMPANY,Indiana,120500
2021,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION,Illinois,120171.25
2021,AMERICAN CHEMISTRY COUNCIL,California,120000
2020,AMERICAN CHEMISTRY COUNCIL,California,120000
2022,AMERICAN CHEMISTRY COUNCIL,California,120000
2021,CIGNA CORPORATE SERVICES,Connecticut,120000
2019,ASSN OF DENTAL SUPPORT ORGANIZATIONS,District of Columbia,120000
2018,ASSN OF DENTAL SUPPORT ORGANIZATIONS,District of Columbia,120000
2017,ASSN OF DENTAL SUPPORT ORGANIZATIONS,District of Columbia,120000
2016,ASSN OF DENTAL SUPPORT ORGANIZATIONS,District of Columbia,120000
2023,Blackstone Real Estate Services LLC,New York,120000
2022,Blackstone Real Estate Services LLC,New York,120000
2021,Blackstone Real Estate Services LLC,New York,120000
2020,Blackstone Real Estate Services LLC,New York,120000
2021,Inmar c/o MulitState Associates Inc.,Virginia,120000
2020,Neste US Inc,Virginia,120000
2022,"Fiserv, Inc.",Wisconsin,120000
2021,"Fiserv, Inc.",Wisconsin,120000
2023,"Fiserv, Inc.",Wisconsin,120000
2022,INVENERGY,Illinois,119500
2020,STATE FARM INSURANCE COMPANIES,California,119283
2023,CIGNA CORPORATE SERVICES,Connecticut,118999.96
2020,RAI Services Company,North Carolina,118665
2019,PHILLIPS 66,California,118590.08
2020,SCIENTIFIC GAMES CORPORATION,Nevada,118500
2020,CVS HEALTH,District of Columbia,118333.32
2017,DISH Network Corporation,District of Columbia,118000
2019,WALMART INC.,Arkansas,117642.07
2017,Aetna,District of Columbia,117000
2016,ELI LILLY & COMPANY,Indiana,116950
2016,ASTRAZENECA PHARMACEUTICALS LP,Delaware,116849
2023,"Graduation Alliance, Inc.",California,116800
2021,NATL FEDERATION OF INDEPENDENT BUSINESS,District of Columbia,116650.08
2020,NATL FEDERATION OF INDEPENDENT BUSINESS,District of Columbia,116650.08
2021,"JOHNSON & JOHNSON SERVICES, INC.",Idaho,116333.28
2018,GENERAL MOTORS LLC,District of Columbia,116265.49
2019,NATL FEDERATION OF INDEPENDENT BUSINESS,District of Columbia,116037.54
2023,CVS HEALTH,District of Columbia,116000.04
2022,Molina Healthcare Inc,California,115485
2016,THE COLLEGE BOARD,New York,115217
2020,Molina Healthcare Inc,California,114790
2018,ALLIANCE OF WESTERN ENERGY CONSUMERS,Oregon,114600
2023,MAPLEBEAR INC. D/B/A INSTACART,California,114454.58
2016,Molina Healthcare Inc,California,114000
2022,ALLIANCE OF WESTERN ENERGY CONSUMERS,Oregon,114000
2022,CIGNA CORPORATE SERVICES,Connecticut,113833.33
2018,NATL FEDERATION OF INDEPENDENT BUSINESS,District of Columbia,113101.94
2020,Juul Labs Inc.,California,112400
2019,RAI Services Company,North Carolina,111665.04
2018,RAI Services Company,North Carolina,111665.04
2019,WestRock,Georgia,111630.63
2017,LYFT INC,California,111500
2020,"JOHNSON & JOHNSON SERVICES, INC.",Idaho,110638.84
2019,Aetna,District of Columbia,109999.96
2016,GENERAL MOTORS LLC,District of Columbia,108535.25
2022,MAPLEBEAR INC. D/B/A INSTACART,California,108480.75
2020,Google LLC and its Affiliates,California,108241.19
2023,AMERICAN TRAFFIC SOLUTIONS INC,Arizona,108000
2019,Molina Healthcare Inc,California,108000
2018,Molina Healthcare Inc,California,108000
2017,Molina Healthcare Inc,California,108000
2023,"Teladoc Health, Inc.",California,108000
2016,DISH Network Corporation,District of Columbia,108000
2022,LIBERTY MUTUAL INSURANCE,Massachusetts,108000
2021,LIBERTY MUTUAL INSURANCE,Massachusetts,108000
2020,LIBERTY MUTUAL INSURANCE,Massachusetts,108000
2023,LIBERTY MUTUAL INSURANCE,Massachusetts,108000
2021,ALLIANCE OF WESTERN ENERGY CONSUMERS,Oregon,108000
2020,Violet Power,Oregon,108000
2017,NATL FEDERATION OF INDEPENDENT BUSINESS,District of Columbia,107807.52
2018,1-800 CONTACTS,Utah,107209.25
2022,NATL FEDERATION OF INDEPENDENT BUSINESS,District of Columbia,106929.4
2023,Google LLC and its Affiliates,California,106854.79
2019,"Toyota Motor North America, Inc.",District of Columbia,105000
2016,MERCK SHARP & DOHME LLC & AFFILIATES,California,104996.67
2022,WALMART INC.,Arkansas,104968.84
2023,AMERICAN FOREST RESOURCE CNCL,Oregon,104780
2021,ELI LILLY & COMPANY,Indiana,104500
2019,STATE FARM INSURANCE COMPANIES,California,103732.99
2019,"ASTELLAS PHARMA US, INC.",District of Columbia,103557
2023,WALMART INC.,Arkansas,103384.62
2021,Campaign for Recycling and the Environment,District of Columbia,103000
2017,"Elevance Health, and its Affiliates",District of Columbia,103000
2018,Renewable Energy Group,Iowa,102719.51
2020,TECHNOLOGY NETWORK,California,102532.5
2020,DISH Network Corporation,District of Columbia,102000
2018,BIOTECHNOLOGY INNOVATION ORGANIZATION,District of Columbia,102000
2017,BIOTECHNOLOGY INNOVATION ORGANIZATION,District of Columbia,102000
2016,AMERICAN CHEMISTRY COUNCIL,California,101250
2017,Yoga Alliance,Virginia,101250
2019,MCNA HEALTH CARE HOLDINGS,Florida,100851.48
2023,CTIA - The Wireless Assocation,District of Columbia,100800
2023,Pediatrix Medical Group,Florida,100525
2018,STATE FARM INSURANCE COMPANIES,California,100400
2017,STATE FARM INSURANCE COMPANIES,California,100400
2022,7-ELEVEN INC,Colorado,100000
2020,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION,Illinois,100000
2019,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION,Illinois,99999.96
2020,WestRock,Georgia,99393.66
2019,TWO JINN INC,California,99166.69
2020,ENTERTAINMENT SOFTWARE ASSN,District of Columbia,98872.92
2023,Unite USA dba Unite Us,New York,97500
2016,NATL FEDERATION OF INDEPENDENT BUSINESS,District of Columbia,96890.85
2022,Pediatrix Medical Group,Florida,96769.57
2017,RAI Services Company,North Carolina,96708.37
2019,Juul Labs Inc.,California,96300
2021,Northwest Portland Area Indian Health Board,Oregon,96250
2020,Food Northwest,Oregon,96250
2021,MAPLEBEAR INC. D/B/A INSTACART,California,96209.13
2021,"Live Nation Entertainment, Inc.",California,96000
2019,AMERICAN CHEMISTRY COUNCIL,California,96000
2018,AMERICAN CHEMISTRY COUNCIL,California,96000
2022,CTIA - The Wireless Assocation,District of Columbia,96000
2023,DISH Network Corporation,District of Columbia,96000
2019,LIBERTY MUTUAL INSURANCE,Massachusetts,96000
2023,FRED MEYER (OXLEY & ASSOC),Oregon,96000
2022,Novolex,South Carolina,96000
2023,Novolex,South Carolina,96000
2020,Everytown for Gun Safety Action Fund,New York,95995.51
2019,"CrossFit, Inc.",District of Columbia,95647.86
2021,Food Northwest,Oregon,95625
2019,1-800 CONTACTS,Utah,95025
2022,CVS HEALTH,District of Columbia,95000.04
2022,"Okta, Inc.",California,94935.48
2016,WALMART INC.,Arkansas,94924.5
2022,TikTok Inc.,California,94500
2020,PRE-PAID LEGAL SERVICES INC,Oklahoma,94125
2022,AMERICAN TRAFFIC SOLUTIONS INC,Arizona,94000
2023,"Supernal, LLC",District of Columbia,93600
2016,RAI Services Company,North Carolina,93450
2022,TECHNOLOGY NETWORK,California,93032.76
2021,INVENERGY,Illinois,93000
2020,INVENERGY,Illinois,93000
2017,EXPRESS SCRIPTS HOLDING CO,District of Columbia,92761.17
2019,INVENERGY,Illinois,92475
2020,1-800 CONTACTS,Utah,92430
2016,EXPRESS SCRIPTS HOLDING CO,District of Columbia,92156.4
2023,Office of the Commissioner of Major League Baseball,New York,91001.63
2018,TWO JINN INC,California,90833.37
2022,"Supernal, LLC",District of Columbia,90400
2021,Justice Action Network,District of Columbia,90127.52
2021,The Toy Association,Arizona,90000
2019,The Toy Association,Arizona,90000
2018,The Toy Association,Arizona,90000
2017,The Toy Association,Arizona,90000
2021,PACIFIC MERCHANT SHIPPING ASSN,California,90000
2021,Turo Inc.,California,90000
2020,PACIFIC MERCHANT SHIPPING ASSN,California,90000
2019,PACIFIC MERCHANT SHIPPING ASSN,California,90000
2023,Fresenius Medical Care,California,90000
2023,DELOITTE CONSULTING LLP,California,90000
2023,PACIFIC MERCHANT SHIPPING ASSN,California,90000
2022,PACIFIC MERCHANT SHIPPING ASSN,California,90000
2022,Fresenius Medical Care,California,90000
2022,DELOITTE CONSULTING LLP,California,90000
2022,TAKEDA PHARMACEUTICALS,Illinois,90000
2021,TAKEDA PHARMACEUTICALS,Illinois,90000
2018,INVENERGY,Illinois,90000
2017,INVENERGY,Illinois,90000
2023,TAKEDA PHARMACEUTICALS,Illinois,90000
2022,ELI LILLY & COMPANY,Indiana,90000
2022,"THERMO FISHER SCIENTIFIC, INC.",Massachusetts,90000
2023,Pharmaceutical Industry Labor-Management Association,Ohio,90000
2020,National Football League c/o MultiState Associates LLC,Virginia,90000
2018,CGI TECHNOLOGIES & SOLUTIONS INC,Virginia,90000
2017,CGI TECHNOLOGIES & SOLUTIONS INC,Virginia,90000
2021,"ASTELLAS PHARMA US, INC.",District of Columbia,89405
2023,WALGREENS,Illinois,88879.84
2021,ARTHRITIS FOUNDATION,District of Columbia,88674.08
2021,The Pew Charitable Trusts,District of Columbia,88443.99
2021,PACIFICORP,Oregon,87900
2020,PACIFICORP,Oregon,87900
2019,PACIFICORP,Oregon,87900
2018,PACIFICORP,Oregon,87900
2016,GLAXO SMITHKLINE,Colorado,87818.88
2017,ALLIANCE OF WESTERN ENERGY CONSUMERS,Oregon,87600
2019,MOTOR VEHICLE SOFTWARE CORP,California,87500
2023,AMERICAS HEALTH INSURANCE PLANS,District of Columbia,87399.96
2021,"Teladoc Health, Inc.",California,87000
2019,National Council of State Boards of Nursing,Illinois,87000
2018,ALKERMES PLC,Massachusetts,87000
2016,ALLIANCE OF WESTERN ENERGY CONSUMERS,Oregon,87000
2019,"STAND FOR CHILDREN, INC.",Oregon,86972.27
2023,GILEAD SCIENCES INC,California,86769.24
2022,GILEAD SCIENCES INC,California,86769.24
2022,AMERICAN FAMILY MUTUAL INSURANCE,Wisconsin,86749.99
2020,Rivian Automotive LLC,Michigan,86500
2018,Advantage Capital,California,85990.53
2022,Waymo LLC,California,85591.35
2018,LYFT INC,California,85514.42
2019,United Rentals c/o MultiState Associates Inc.,Virginia,85258.92
2022,AMGEN INC,Massachusetts,85152
2021,AMGEN INC,Massachusetts,85152
2020,AMGEN INC,Massachusetts,85152
2018,AMGEN INC,Massachusetts,85152
2017,AMGEN INC,Massachusetts,85152
2016,AMGEN INC,Massachusetts,85152
2023,AMGEN INC,Massachusetts,85152
2018,MCNA HEALTH CARE HOLDINGS,Florida,85058.58
2017,"STAND FOR CHILDREN, INC.",Oregon,85006.57
2023,NATIONWIDE INSURANCE,Ohio,85000
2021,"THERMO FISHER SCIENTIFIC, INC.",Massachusetts,84750
2021,PHILLIPS 66,California,84383.34
2021,GILEAD SCIENCES INC,California,84269.24
2017,AMERICAN CHEMISTRY COUNCIL,California,84000
2023,"GM Cruise, LLC",California,84000
2023,Waymo LLC,California,84000
2022,"Teladoc Health, Inc.",California,84000
2018,DJI Technology Inc,District of Columbia,84000
2021,"GEO Group, Inc.",Florida,84000
2020,"GEO Group, Inc.",Florida,84000
2021,"Secure Identity, LLC",New York,84000
2021,PRE-PAID LEGAL SERVICES INC,Oklahoma,84000
2023,NW NATURAL GAS,Oregon,84000
2023,Wireless Infrastructure Association (thru MultiState Associates LLC),Virginia,84000
2019,ENTERTAINMENT SOFTWARE ASSN,District of Columbia,83333
2020,Accenture LLP,District of Columbia,83200
2023,Western Governors University,Utah,83199.96
2019,AMGEN INC,Massachusetts,82556
2019,Turo Inc.,California,82500
2022,"Prolacta Bioscience, Inc.",California,82500
2020,Washington Clean Energy Company LLC,Colorado,82500
2023,Behavioral Health Solutions,Nevada,82500
2022,Pharmaceutical Industry Labor-Management Association,Ohio,82500
2020,Pharmaceutical Industry Labor-Management Association,Ohio,82500
2016,CGI TECHNOLOGIES & SOLUTIONS INC,Virginia,82500
2022,AMERICAS HEALTH INSURANCE PLANS,District of Columbia,82333.33
2022,AMERICAN FOREST RESOURCE CNCL,Oregon,82100
2022,Justice Action Network,District of Columbia,82098.06
2021,LeaseLock,California,82000
2020,AMERICAN TRAFFIC SOLUTIONS INC,Arizona,81000
2019,AMERICAN TRAFFIC SOLUTIONS INC,Arizona,81000
2023,ELI LILLY & COMPANY,Indiana,81000
2023,Qualtrics LLC,Utah,81000
2019,AMERICAN FOREST RESOURCE CNCL,Oregon,80976.5
2021,WestRock,Georgia,80643.96
2017,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION,Illinois,80303.88
2021,CVS HEALTH,District of Columbia,80000.04
2018,MOTOR VEHICLE SOFTWARE CORP,California,80000
2019,ALKERMES PLC,Massachusetts,80000
2022,Unite USA dba Unite Us,New York,80000
2022,"National Shooting Sports Foundation, Inc.",Connecticut,79686
2019,UNITED HEALTHCARE SERVICES INC,Minnesota,79654.52
2017,GLAXO SMITHKLINE,Colorado,79613.71
2021,AMERICAN FOREST RESOURCE CNCL,Oregon,79575
2021,Merit International Inc.,California,79500
2018,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION,Illinois,79435.77
2022,"Prime Therapeutics, LLC",Minnesota,79295.28
2022,WALGREENS,Illinois,78900.76
2017,ALKERMES PLC,Massachusetts,78750
2023,Marathon Petroleum Corporation and its Subsidiaries,California,78666.66
2021,Waymo LLC,California,78456.73
2022,BIOGEN,Massachusetts,78187.5
2021,"STAND FOR CHILDREN, INC.",Oregon,78155.33
2021,Emergent BioSolutions,Pennsylvania,78012
2020,GILEAD SCIENCES INC,California,78000
2019,LYFT INC,California,78000
2017,MCNA HEALTH CARE HOLDINGS,Florida,78000
2017,ABBVIE INC,Illinois,78000
2021,BIOGEN,Massachusetts,78000
2022,NATIONWIDE INSURANCE,Ohio,78000
2021,NATIONWIDE INSURANCE,Ohio,78000
2023,FEDEX,Tennessee,78000
2022,FEDEX,Tennessee,78000
2021,FEDEX,Tennessee,78000
2020,FEDEX,Tennessee,78000
2019,FEDEX,Tennessee,78000
2018,FEDEX,Tennessee,78000
2017,FEDEX,Tennessee,78000
2016,FEDEX,Tennessee,78000
2021,DELOITTE CONSULTING LLP,California,77500
2019,Sourcewell,Minnesota,77500
2022,Copenhagen Infrastructure Partners,New York,77500
2020,ARTHRITIS FOUNDATION,District of Columbia,77439.95
2021,AMERICAN TRAFFIC SOLUTIONS INC,Arizona,77250
2018,WALGREENS,Illinois,77248.2
2017,WALGREENS,Illinois,77248.2
2019,Internet Association,District of Columbia,77114
2019,SCIENTIFIC GAMES CORPORATION,Nevada,77000
2016,ABBVIE INC,Illinois,76832
2023,"Live Nation Entertainment, Inc.",California,76800
2020,Sunovion Pharmaceuticals Inc.,Massachusetts,76675.46
2017,Renewable Energy Group,Iowa,76666.66
2022,ARTHRITIS FOUNDATION,District of Columbia,76557.69
2019,LifePoint Health,Tennessee,76500
2021,Copenhagen Infrastructure Partners,New York,76412.8
2019,Pediatrix Medical Group,Florida,76394
2020,AMERICAS HEALTH INSURANCE PLANS,District of Columbia,76000
2019,TAKEDA PHARMACEUTICALS,Illinois,76000
2022,NW NATURAL GAS,Oregon,76000
2021,AMERICAS HEALTH INSURANCE PLANS,District of Columbia,75999.96
2019,WALGREENS,Illinois,75887.43
2022,Port of Hood River,Oregon,75513.68
2018,PHILLIPS 66,California,75368.57
2016,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION,Illinois,75166.63
2019,MERCK SHARP & DOHME LLC & AFFILIATES,California,75083
2022,DISH Network Corporation,District of Columbia,75000
2022,MASTERCARD WORLDWIDE,New York,75000
2021,MASTERCARD WORLDWIDE,New York,75000
2020,MASTERCARD WORLDWIDE,New York,75000
2019,MASTERCARD WORLDWIDE,New York,75000
2021,Pharmaceutical Industry Labor-Management Association,Ohio,75000
2017,Nationstar Mortgage LLC,Texas,75000
2018,UNITED HEALTHCARE SERVICES INC,Minnesota,74928.57
2023,ANHEUSER-BUSCH COMPANIES INC,Missouri,74799.96
2023,PHILLIPS 66,California,74574.99
2020,PHILLIPS 66,California,74513.34
2021,TWO JINN INC,California,74400
2020,TWO JINN INC,California,74400
2022,TWO JINN INC,California,74400
2021,Pediatrix Medical Group,Florida,74127.52
2018,"STAND FOR CHILDREN, INC.",Oregon,74122.67
2022,Sunovion Pharmaceuticals Inc.,Massachusetts,74086.44
2018,National Electrical Manufacturers Association (NEMA) c/o MultiState Associates LLC,Virginia,74000.56
2019,Everytown for Gun Safety Action Fund,New York,74000
2020,Acadia Healthcare,Tennessee,74000
2017,National Electrical Manufacturers Association (NEMA) c/o MultiState Associates LLC,Virginia,74000
2021,Crown Castle and Affiliates ,Texas,73994
2018,Kapstone Paper and Packaging d/b/a WestRock,Georgia,73924.32
2019,Expedia Group,District of Columbia,73800
2018,Expedia Group,District of Columbia,73800
2023,"Medical Evaluation Specialists, LLC",Massachusetts,73629
2020,"Prime Therapeutics, LLC",Minnesota,73514.52
2018,Sunovion Pharmaceuticals Inc.,Massachusetts,73500
2019,"Youth Villages, Inc.",Tennessee,73500
2019,DJI Technology Inc,District of Columbia,73333
2018,PACIFIC MERCHANT SHIPPING ASSN,California,73300
2023,Port of Hood River,Oregon,73160.71
2020,LYFT INC,California,73093.7
2022,"Global Payments, Inc.",Georgia,73000
2016,SPECTRUM HEALTH SYSTEMS,Massachusetts,72700
2023,Families Against Mandatory Minimums,District of Columbia,72690.62
2017,UNITED HEALTHCARE SERVICES INC,Minnesota,72573.49
2017,PHARMACEUTICAL CARE MANAGEMENT ASSN,District of Columbia,72500
2020,AMERICAN FOREST RESOURCE CNCL,Oregon,72450
2022,Families Against Mandatory Minimums,District of Columbia,72401.2
2020,"Meta Platforms, Inc.",California,72340.46
2019,ARTHRITIS FOUNDATION,District of Columbia,72324
2018,MASTERCARD WORLDWIDE,New York,72250
2018,GLAXO SMITHKLINE,Colorado,72099.5
2022,Crown Castle and Affiliates ,Texas,72038
2021,PACIFIC DENTAL SERVICES,California,72000
2021,Juul Labs Inc.,California,72000
2021,Marathon Petroleum Corporation and its Subsidiaries,California,72000
2021,Fresenius Medical Care,California,72000
2020,PACIFIC DENTAL SERVICES,California,72000
2020,Fresenius Medical Care,California,72000
2019,First American Title Insurance Company,California,72000
2019,PACIFIC DENTAL SERVICES,California,72000
2019,SIGNATURE HEALTHCARE SERVICES LLC,California,72000
2018,Republic National Distributing Company,California,72000
2018,PACIFIC DENTAL SERVICES,California,72000
2018,SIGNATURE HEALTHCARE SERVICES LLC,California,72000
2018,Avesis Incorporated,California,72000
2017,Republic National Distributing Company,California,72000
2017,PACIFIC DENTAL SERVICES,California,72000
2016,PACIFIC DENTAL SERVICES,California,72000
2023,VERIZON,California,72000
2022,"Live Nation Entertainment, Inc.",California,72000
2022,Juul Labs Inc.,California,72000
2022,GENERAL MOTORS LLC,District of Columbia,72000
2021,GENERAL MOTORS LLC,District of Columbia,72000
2021,Philips North America,District of Columbia,72000
2020,GENERAL MOTORS LLC,District of Columbia,72000
2020,Philips North America,District of Columbia,72000
2019,GENERAL MOTORS LLC,District of Columbia,72000
2023,GENERAL MOTORS LLC,District of Columbia,72000
2022,"NextEra Energy Resources, LLC",Florida,72000
2021,"NextEra Energy Resources, LLC",Florida,72000
2022,AGRI BEEF CO,Idaho,72000
2021,AGRI BEEF CO,Idaho,72000
